order_id,customer_id,order_date
1,1,2023-04-21
2,1,2023-10-24
3,1,2024-01-09
4,1,2024-04-21
5,2,2023-09-10
6,2,2023-10-27
7,2,2023-10-28
8,2,2023-11-01
9,2,2023-12-16
10,3,2023-04-07
11,4,2023-01-11
12,4,2023-06-11
13,4,2024-08-09
14,4,2024-08-15
15,5,2023-10-10
16,5,2024-03-16
17,6,2023-03-21
18,6,2023-10-30
19,6,2024-08-27
20,7,2024-01-16
21,7,2024-04-28
22,8,2023-03-02
23,8,2023-05-05
24,8,2023-05-12
25,8,2023-07-25
26,8,2023-09-14
27,8,2023-09-27
28,8,2024-01-11
29,8,2024-01-25
30,8,2024-04-14
31,8,2024-05-22
32,9,2023-01-16
33,9,2024-06-19
34,10,2023-12-03
35,10,2024-01-04
36,10,2024-03-25
37,11,2023-03-03
38,11,2023-05-13
39,11,2023-07-10
40,11,2024-08-11
41,11,2024-11-19
42,12,2023-07-30
43,12,2023-09-21
44,12,2023-11-09
45,12,2024-01-20
46,12,2024-05-10
47,12,2024-08-25
48,12,2024-09-30
49,12,2024-12-17
50,13,2023-11-13
51,13,2024-08-19
52,14,2023-03-16
53,14,2024-10-21
54,15,2023-06-30
55,15,2023-11-07
56,15,2023-12-23
57,15,2024-04-16
58,16,2023-06-21
59,16,2023-11-29
60,16,2024-10-23
61,17,2023-12-19
62,17,2024-02-27
63,17,2024-04-05
64,17,2024-11-12
65,19,2023-08-16
66,19,2024-06-24
67,19,2024-11-05
68,20,2023-06-02
69,20,2024-04-08
70,20,2024-08-06
71,20,2024-08-21
72,21,2023-01-21
73,21,2023-04-06
74,22,2023-01-19
75,22,2023-04-18
76,22,2023-07-31
77,22,2024-04-18
78,23,2024-01-23
79,24,2023-01-20
80,24,2023-08-05
81,24,2023-11-26
82,24,2023-11-29
83,24,2024-03-20
84,24,2024-06-07
85,26,2023-02-19
86,26,2023-04-13
87,26,2023-07-09
88,26,2023-10-25
89,26,2024-02-23
90,27,2024-01-03
